item_name,item_price,free_shipping,shoe_size,number_of_images,seller_rating,item_url
Dead Stock Social Status x Nike Dunk Mid Chocolate Milk Size 9.5 *IN HAND*,$99.99,FALSE,9.5,4,13,https://www.ebay.com/itm/265378002172?hash=item3dc9c2f4fc%3Ag%3AYwEAAOSwLGlhTP-Q&LH_ItemCondition=1000
Social Status x Nike Dunk Mid - Chocolate Milk “Size 10.5 Men's” (In Hand),$268.00,TRUE,10.5,8,118,https://www.ebay.com/itm/174959406015?epid=2321302920&_trkparms=ispr%3D1&hash=item28bc64abbf%3Ag%3AwiIAAOSwz8hhVdxY&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSDAeS9EQtjPGVfKXTxF0%252Bjm8E8Cbw4EivRLeEwvhOZ8idUvDXPE0RuHJDLlf3ReRY%252BQ3xHnFcyxz8l5jTW7OQalHqP7rSO8MAtEr045qAaB8EGPrElNbPqePNF6ZPvHlLPU%252Bmdfuva9XGsjt8RY62e98D9fBB8Nfe5Rbd92kUYV6xzYC148J5M%252BqDD8ncgWhxXliEqLwjGHqFCWyRsxd%252FLXWxlaBkybc3f3PjDwpSFWK5vLOl1Nl6KUF1aLFFmV0IU7R88ay0Y3KlGnEfeD6NdRH%252FylLlhF%252Bcys0BS9c4afF49tIkM4RuEStMHw2EMF%252F3smj9OwCnsfoC8qbhhUtrDTUK1Ky4tkO7U8Dk0SDQDYwknk9qlJc4xbnKVnnkfTBFZUCxjcVJ1VHlXCtekYkJw57wePChOVU1MJj4akOMqQnqtvsP2g%252FOPckYHv6MeW3wC3LODVhceiDIayC1cRGvLlN7530zOqjtH5ANyXtTH%252BUxEXBlA6S4A%252FBBIAUuhgcf8kgiDWjt%252BIqusNfhQdBuWXi7IXoZobHoV0betlqJQPqYC%252B0Q%252BMu7UAt19BjzHyW%252FMY9Q9f0Ql8g1pCNTKusmFWzKitC%252FrAx60nLeVf2rNn3qDw09mMw3ZQG9HHfelhAg8cLpk6qEIVdOmZW%252FT%252FvzWCLe1qkol7GSDrP0oCydOI5GJYlb%252BezDj09hN%252BTHDlwSOechykkFGpvE6x0nIwKCqDRHexBzThnI0wGBEo7bavM81ap2BdkyI09TceTAJbAT%252FvAiTqbgpjDqC75rhLnNGfJZQtg78BhegLdM6m1SONTrqBQK4r0LczvJv5r87U3aHA2X8p%252B7LyEkxGUWdayP%252FJpyvt6czgK%252FCHi7ihnODTI%253D%7Cclp%3A2334524%7Ctkp%3ABFBM0I31-Zhf&LH_ItemCondition=1000
Nike Dunk Mid Social Status Free Lunch Chocolate Milk Size 12,$274.95,FALSE,12,11,15,https://www.ebay.com/itm/265317541585?epid=6050266072&_trkparms=ispr%3D1&hash=item3dc62866d1%3Ag%3A55IAAOSwu5tha4dC&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh07YQb%252BBJk89xqVhztOSSB5G%252FZlsq4hx4kormvlkq%252BTFVLqLELxV%252BrXj1HN1j6tZyAF77AO4kBzTl6Q8GR47d8e5ryNegKJZR2YT9RWxUc8j3tzdwCr4NmYG4QGrXvfpczIOWjVtGCgWNEpMg6m2LCVF9T%252F5dSonV6pFOMTPqMm45%252BCakGIlxwyTGmsl18uMsGIFLGI6%252FXNguOECEwp%252BNhGVrt%252FQ%252F9aR9owSshjb54X4XDEMp9x%252FUi%252F7oOC8JYtcGtFPbd3cG1qomrSvOTS0cyFN4DTGnW7K9Xl%252F95G%252BSiV9m9JEG0S8PNArdpgIU97qxeA16SMOZZLc%252FM30ZxCxCvHxKVW9bOpWWHLbSt3cKnTWKdSveRMH8XAqQTvSmeaHXW931191uG1bVvqlnIPRgC17euFw7bQIOXItuIP4cj6FCknmV9qGrmSpdWPQXAbRbeKZbvZBht3ULNyPkcbSl%252FRjQDfDpHXiJvYaZzqFCkDYHPtovjfKyHDb318XGQZ1xL0qokaqDDfUG3mTCQ8xg1sVgQYIt8WAY4C3vvuiCwLsNp0gweU%252BkIl2zB7ogsohCRcFMAR%252BuSATNg9Iv8ZCYFVbPDztcfqBLC3IyzvardIZthSRo8rhKggHqOnX8XssxjqZm7%252B6ZkHqb4VsZSmBS6C%252Fb2QBlSw3WJ1JTV%252BNMIqcDbZRFr9vvL3MJbAmEoy2%252FothY1CJ6gsbEr8Trq6mmSmf3d1LXRaOmmyEbEvBWLjj8%252FwhJFmMWBKyU1PcGFZbx2Af%252BQ1pQlrqwZrsALVB%252BVgiHtAN7onKcpNoXrkcqrVf2MEp6FAKISvoqwITTi7DAOnnpF3G3lKS1iTr0FNyxwA%253D%7Cclp%3A2334524%7Ctkp%3ABFBM0o31-Zhf&LH_ItemCondition=1000
Nike Dunk Mid Social Status Free Lunch Chocolate Milk size 10.5 DJ1173-700,$240.00,FALSE,10.5,1,2,https://www.ebay.com/itm/194443823792?hash=item2d45c14ab0%3Ag%3AwkoAAOSwJDZha1GX&LH_ItemCondition=1000
"Social Status X Nike Free Lunch Dunk ""Chocolate Milk"" Size 13",$275.00,TRUE,13,6,2,https://www.ebay.com/itm/284500687170?hash=item423d8ff942%3Ag%3AANoAAOSw21hhSRFj&LH_ItemCondition=1000
social status x nike dunk mid chocolate milk size 6.5,$210.00,FALSE,6.5,7,34,https://www.ebay.com/itm/255175930457?hash=item3b69abb259%3Ag%3AZAkAAOSwuHRhZdWn&LH_ItemCondition=1000
NWT Social Status x Nike Dunk Mid Free Lunch Chocolate Milk Size 10W/8.5M,$230.00,FALSE,8.5,7,0,https://www.ebay.com/itm/203673987119?epid=19050261515&hash=item2f6bea682f%3Ag%3AD%7EcAAOSwUkxheZaS&LH_ItemCondition=1000
Nike Dunk Mid x Social Status Free Lunch ‘Chocolate Milk’ Size 7.5 DJ1173 700,$200.00,FALSE,7.5,12,3,https://www.ebay.com/itm/304152809446?hash=item46d0eb8fe6%3Ag%3AwYkAAOSwuQZhRzrY&LH_ItemCondition=1000
Social Status x Nike Free Lunch Chocolate Milk Dunk Sz 12 In Hand,$295.99,FALSE,12,12,36,https://www.ebay.com/itm/114982063917?hash=item1ac5770f2d%3Ag%3AY4oAAOSwDm1hO4ID&LH_ItemCondition=1000
Nike Dunk Mid Social Status Free Lunch Chocolate Milk DS (size 6.5MENS/8WMNS),$219.99,FALSE,6.5,9,210,https://www.ebay.com/itm/165119448797?epid=16050251620&hash=item2671e2d6dd%3Ag%3As88AAOSwpYxhYlTv&LH_ItemCondition=1000
social status x nike dunk mid chocolate milk,$300.00,FALSE,12,3,13,https://www.ebay.com/itm/144226426850?hash=item2194909fe2%3Ag%3ASzcAAOSwPF5hVfHt&LH_ItemCondition=1000
