item_name,item_price,free_shipping,shoe_size,number_of_images,seller_rating,adult_shoe,youth_shoe,child_shoe,item_url
nike dunk mid social status free lunch chocolate milk size,$274.95,False,12,11,15,True,False,False,https://www.ebay.com/itm/265317541585?epid=6050266072&_trkparms=ispr%3D1&hash=item3dc62866d1%3Ag%3A55IAAOSwu5tha4dC&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh07YQb%252BBJk89xqVhztOSSB5G%252FZlsq4hx4kormvlkq%252BTFVLqLELxV%252BrXj1HN1j6tZyAF77AO4kBzTl6Q8GR47d8e5ryNegKJZR2YT9RWxUc8j3tzdwCr4NmYG4QGrXvfpczIOWjVtGCgWNEpMg6m2LCVF9T%252F5dSonV6pFOMTPqMm45%252BCakGIlxwyTGmsl18uMsGIFLGI6%252FXNguOECEwp%252BNhGVrt%252FQ%252F9aR9owSshjb54X4XDEMp9x%252FUi%252F7oOC8JYtcGtFPbd3cG1qomrSvOTS0cyFN4DTGnW7K9Xl%252F95G%252BSiV9wK3S795Wx%252Bfq9OG4AKPkeOH9Q82NCO7A%252FTH9ENuWgpKJ%252FRVXKUlnsCO3iCfz06fn35uDceEEFwaOBl8brW1kilwzbCwXOTuvlkHoFy0k%252BlcUnldPIZPd6uKNkmllp1tv4IwDDz68Ey1DgfchCWxKixXjOrsNoAA%252F40rlT2KUQAVhFWOAWUD46zaY%252BU6gHDh%252BDkjjYTVQ%252FtW5sWK0drLUNoOS8KceTXLzHNQSAI4Xel%252FId1mhee90cEDViQjYxvFrOTql7zNl9a6GZjRDUgwfhtM9hv3NdzyQ9eVx6t1%252FmGS6OEOnb9juM99KqILeOH7SDN5r3lg1OhMOgzIXnONkzFerK0blnfLjvqHj%252BkVpWjk8oNFZRSvfphe6CxU9dlMHja2gEds4sthS7R9R%252F%252FP%252FeIYWThwdUG0uQstlhPcRFg3synKtEVabJxawJgScFdEzyX8%252FFtQMMgxCO5QK20qca5NBL59%252Fplm3KyNiZbNea3rW7lDtFUB5Y1eoXL72oQgMzhcYnjCVyicatFi%252BcdRCTvOf6pEBcvEvVweU0kUfWNU%253D%7Cclp%3A2334524%7Ctkp%3ABFBMhsaP5ppf&LH_ItemCondition=1000
social status dunk mid free lunch chocolate milk size,$275.00,False,11.5,2,301,True,False,False,https://www.ebay.com/itm/294482954404?epid=20050257599&_trkparms=ispr%3D1&hash=item44908d48a4%3Ag%3AehwAAOSwZ3BhO3XX&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS%252Fwocn770hnih0B3mVHNZ5P9gIz3jmEBtl10saxqT0ISzG1rlX%252FwLofmRzjBTS9XlnVLEgUcQJ6J7%252Bvqcw7lb2MO8AcPoIsSZ8RsIV6WNlBT%252FRYQfoIUpAkwSHFLqm8Kc7QFNQCGRo09eHpc%252BWcwB6YiBLdTyAVZj7m7iv1wBUbej2E2tHBjpKY2JZX%252BXqvY2sFGj7y96sghAwdZTS4BIchGhYHWqTe6f%252BDo4QnAHIpRng2adslJKapzDzDihpcIAnfg3KgIX3d62FaO66wMok%252Bo2Ia8DF2olp4fmgyxbS0WABrmnRrI0UjU6%252BhuG45S2O1HDHYvjk2c60UZR7OI74lS7%252B6%252FRiWvlpS8M%252BZl5XSFk0e69R2xnf4hsnpdd%252BF8MEDlUcqab%252Fk7%252BjcB2VWuO66cZw6bThZGvyQ3JgVtsyEEFrC4uefmsrSfNMtBnM%252BxvaDFRLOInw3Ya5yrXeJIBXL7A%252Fip6a9Uv64qLkS6sblsZYG3jKtoH5wlc5yNGvY1nKi%252F5e16xqYE1EWvrhWt4v4uE4xWGFsHj4gEj9Clr0TAFsptxpohv%252FgGldzd5Djt%252FaWtVa6AXc%252FQ%252F3VDkDcJ0x%252Bp0%252F4wbbKXvdjushs5Ov7oazNm8LCMuXZ5EYFRRIm54L4Knfne7AHZlxtL6MKzhcqZsQES8M37M%252BTI%252FnKSBqPZHiTjUHFWsOcioV54NsK9MVGEygkffymJYrMMQvA7sm1zBVL1mtIbYuQRzd2xGKn16rMOa2nW2qv6o54gl5%252BMAeTNG132E3%252FMld2E7wJR9gL%252F%252FN5f5e9gC5UNPy9cHInXeY9WUeyeGqBorghfhM%252FQ7qEwCjt5R9NJqQiyo3pYuQDosXKsAm%252FqnbYTVZAUhiVQ%253D%7Cclp%3A2334524%7Ctkp%3ABFBMhsaP5ppf&LH_ItemCondition=1000
social status nike dunk mid free lunch chocolate milk size,$250.00,False,10.5,1,3,True,False,False,https://www.ebay.com/itm/165122440110?hash=item2672107bae%3Ag%3A6cQAAOSwwJ1hZGPt&LH_ItemCondition=1000
new nike dunk sb mid social status chocolate milk size rare retro og vtg,$300.00,True,10,11,3315,True,False,False,https://www.ebay.com/itm/185121810084?hash=item2b1a1ea6a4%3Ag%3A7xgAAOSwWclhcrhw&LH_ItemCondition=1000
social status nike dunk mid chocolate milk size,$210.00,False,6.5,7,34,True,False,False,https://www.ebay.com/itm/255175930457?hash=item3b69abb259%3Ag%3AZAkAAOSwuHRhZdWn&LH_ItemCondition=1000
nike social status dunk mid chocolate milk size men brand new,$350.00,False,12,9,47,True,False,False,https://www.ebay.com/itm/133873626527?hash=item1f2b7d6d9f%3Ag%3APU4AAOSw7fVhTNaj&LH_ItemCondition=1000
nike dunk mid social status chocolate milk size dj,$275.00,True,8.5,12,141,True,False,False,https://www.ebay.com/itm/133913633943?epid=19050261515&hash=item1f2ddfe497%3Ag%3ABZ4AAOSw8r1hddQy&LH_ItemCondition=1000
social status nike free lunch chocolate milk dunk sz in hand,$295.99,False,12,12,36,True,False,False,https://www.ebay.com/itm/114982063917?hash=item1ac5770f2d%3Ag%3AY4oAAOSwDm1hO4ID&LH_ItemCondition=1000
social status nike free lunch dunk mid chocolate milk dj sz,$300.00,True,13,11,15,True,False,False,https://www.ebay.com/itm/144268344395?epid=14050253750&hash=item2197103c4b%3Ag%3AxtkAAOSwCRdhfKJE&LH_ItemCondition=1000
nike dunk mid social status chocolate milk size,$230.00,False,9,1,7,True,False,False,https://www.ebay.com/itm/313716932064?hash=item490afc7de0%3Ag%3AJj0AAOSwRbdhbkRs&LH_ItemCondition=1000
